一级类目,二级类目,三级类目,categoryId,typeId,rFBS_低档,rFBS_中档,rFBS_高档
服装,服装,婴儿尿垫,17031328,93493,12%,14%,18%
服装,服装,服装袖口,200000348,971405351,12%,14%,18%
服装,服装,家居浴袍,41777466,93251,12%,14%,18%
服装,服装,防风上衣,41777472,93067,12%,14%,18%
服装,服装,半拉链外套/防风衣,41777472,970585480,12%,14%,18%
服装,服装,雨衣,41777475,93082,12%,14%,18%
服装,服装,天然羊皮夹克,41777476,93084,12%,14%,18%
服装,服装,外套套装,41777479,93108,12%,14%,18%
服装,服装,夹克,41777480,93137,12%,14%,18%
服装,服装,人造羊皮大衣,41777480,971979781,12%,14%,18%
服装,服装,大衣,41777482,93166,12%,14%,18%
服装,服装,人造毛皮大衣,41777482,971979782,12%,14%,18%
服装,服装,派克大衣,41777483,97010,12%,14%,18%
服装,服装,风衣,41777484,93186,12%,14%,18%
服装,服装,羽绒服,41777487,93205,12%,14%,18%
服装,服装,天然皮草大衣,41777488,93279,12%,14%,18%
服装,服装,连衣裙,41777492,93182,12%,14%,18%
服装,服装,无袖连衣裙,41777492,93211,12%,14%,18%
服装,服装,束腰衫,41777493,93241,12%,14%,18%
服装,服装,沙滩披肩,41777493,970988994,12%,14%,18%
服装,服装,短裙,41777494,93283,12%,14%,18%
服装,服装,衬裙,41777494,971107305,12%,14%,18%
服装,服装,头纱,41777495,970658743,12%,14%,18%
服装,服装,高领衫,41777497,93072,12%,14%,18%
服装,服装,开襟衫,41777499,93092,12%,14%,18%
服装,服装,毛线衣,41777502,93079,12%,14%,18%
服装,服装,毛衣,41777502,93214,12%,14%,18%
服装,服装,防磨衣,41777503,115949936,12%,14%,18%
服装,服装,长袖T恤,41777503,93148,12%,14%,18%
服装,服装,运动衫,41777505,93216,12%,14%,18%
服装,服装,卫衣,41777505,93232,12%,14%,18%
服装,服装,连帽衫,41777505,93253,12%,14%,18%
服装,服装,奥运外套,41777505,97009,12%,14%,18%
服装,服装,裤子,41777508,93055,12%,14%,18%
服装,服装,浴裙,41777508,971061641,12%,14%,18%
服装,服装,打底裤,41777510,93144,12%,14%,18%
服装,服装,牛仔裤,41777511,93080,12%,14%,18%
服装,服装,小坎肩,41777512,93051,12%,14%,18%
服装,服装,马甲,41777513,93086,12%,14%,18%
服装,服装,西装上衣,41777515,93175,12%,14%,18%
服装,服装,马裤,41777517,93053,12%,14%,18%
服装,服装,单车裤,41777518,785353054,12%,14%,18%
服装,服装,短裤,41777518,93272,12%,14%,18%
服装,服装,卡通连体睡衣,41777519,504866259,12%,14%,18%
服装,服装,连体裤,41777519,93103,12%,14%,18%
服装,服装,背带裤,41777519,970590515,12%,14%,18%
服装,服装,经典西服,41777521,970707326,12%,14%,18%
服装,服装,服装套装 ,41777522,93112,12%,14%,18%
服装,服装,运动服,41777522,93221,12%,14%,18%
服装,服装,排球服,41777522,970696767,12%,14%,18%
服装,服装,篮球运动服,41777522,971011003,12%,14%,18%
服装,服装,足球制服,41777522,971079131,12%,14%,18%
服装,服装,短衫,41777523,93048,12%,14%,18%
服装,服装,衬衫,41777525,93209,12%,14%,18%
服装,服装,背心,41777528,93150,12%,14%,18%
服装,服装,Polo衫,41777530,93194,12%,14%,18%
服装,服装,T恤,41777530,93244,12%,14%,18%
服装,服装,无袖背心,41777533,93236,12%,14%,18%
服装,服装,洗礼服装,41777558,93133,12%,14%,18%
服装,服装,睡衣,41777566,93176,12%,14%,18%
服装,服装,睡裙,41777566,970960142,12%,14%,18%
服装,服装,出院套件,41777699,93109,12%,14%,18%
服装,服装,新生儿包膜 ,41777703,93118,12%,14%,18%
服装,服装,婴儿睡袋,41777712,970785888,12%,14%,18%
服装,服装,绝缘连体套装,43430486,93105,12%,14%,18%
服装,服装,保暖背带裤,43430486,93199,12%,14%,18%
服装,服装,压缩长袜,43430569,30802055,12%,14%,18%
服装,服装,压缩绑腿,43430569,93114,12%,14%,18%
服装,服装,压缩袜,43430569,94185,12%,14%,18%
服装,服装,压缩长筒袜,43430570,93115,12%,14%,18%
服装,服装,斗篷,43434562,97151,12%,14%,18%
服装,服装,棒球服,43443728,97183,12%,14%,18%
服装,服装,海边防晒大纱巾,44286097,93168,12%,14%,18%
服装,服装,学校围裙,55647611,608042980,12%,14%,18%
服装,服装,压缩紧身衣,70983441,115951186,12%,14%,18%
服装,服装,嘉年华服装,88577818,96729,12%,14%,18%
服装,服装,人偶服装,88577818,970943350,12%,14%,18%
服装,服装,可拆卸衣领,99190146,970996947,12%,14%,18%
服装,情趣服装和配饰,性虐服装,17031121,96507,12%,14%,18%
服装,情趣服装和配饰,角色扮演服装,200001480,93125,12%,14%,18%
服装,情趣服装和配饰,Go-Go舞蹈裙,41777581,93183,12%,14%,18%
服装,情趣服装和配饰,情趣内衣,41777581,93281,12%,14%,18%
服装,情趣服装和配饰,情趣胸贴,43443733,93206,12%,14%,18%
服装,情趣服装和配饰,情趣皮革内衣,43443733,970877574,12%,14%,18%
服装,内衣,连体紧身衣,41777524,93049,12%,14%,18%
服装,内衣,内衣背心,41777532,97501,12%,14%,18%
服装,内衣,文胸配件,41777541,970669865,12%,14%,18%
服装,内衣,胸罩,41777542,93065,12%,14%,18%
服装,内衣,连裤袜,41777546,93100,12%,14%,18%
服装,内衣,内衣下装套装,41777548,93107,12%,14%,18%
服装,内衣,紧身胸衣,41777555,970948371,12%,14%,18%
服装,内衣,收腰荷叶边下摆上衣,41777555,971151880,12%,14%,18%
服装,内衣,产妇支持带,41777555,99523,12%,14%,18%
服装,内衣,连体衬裙,41777565,93102,12%,14%,18%
服装,内衣,睡袍,41777565,93170,12%,14%,18%
服装,内衣,泳衣/泳装,41777574,93179,12%,14%,18%
服装,内衣,内裤,41777574,93238,12%,14%,18%
服装,内衣,内裤套装,41777574,970617577,12%,14%,18%
服装,内衣,长筒袜,41777575,93256,12%,14%,18%
服装,内衣,男衬裤,41777583,93091,12%,14%,18%
服装,内衣,保暖裤,41777584,93224,12%,14%,18%
服装,内衣,保暖内衣套装,41777584,93225,12%,14%,18%
服装,内衣,保暖短裤,41777584,93229,12%,14%,18%
服装,内衣,保暖长袖,41777584,970675143,12%,14%,18%
服装,内衣,保暖连体服,41777584,97197,12%,14%,18%
服装,内衣,双面德绒打底衫,41777584,98443,12%,14%,18%
服装,内衣,丝袜带,41777588,93203,12%,14%,18%
服装,内衣,绑腿套,41777695,93075,12%,14%,18%
服装,内衣,高尔夫球裤,41777700,93077,12%,14%,18%
服装,内衣,袜子,41777700,93157,12%,14%,18%
服装,内衣,船袜,41777700,93190,12%,14%,18%
服装,内衣,包脚布,41777700,970662328,12%,14%,18%
服装,内衣,细袜圈,41777706,93189,12%,14%,18%
服装,内衣,宽袜圈,41777706,970630836,12%,14%,18%
服装,内衣,修正型内衣,43436588,93120,12%,14%,18%
服装,内衣,游泳衣胸罩,43436590,59227236,12%,14%,18%
服装,内衣,泳衣,43436590,93134,12%,14%,18%
服装,婴儿内衣,婴儿泳衣,200001581,972076125,12%,14%,18%
服装,婴儿内衣,婴儿运动保暖内衣,200001582,972076126,12%,14%,18%
服装,婴儿内衣,婴幼儿保暖连体服,200001582,972076127,12%,14%,18%
服装,婴儿内衣,婴幼儿保暖套装,200001582,972076128,12%,14%,18%
服装,婴儿内衣,婴幼儿保暖背心,200001582,972076130,12%,14%,18%
服装,婴儿内衣,婴幼儿保暖短裤,200001582,972076133,12%,14%,18%
服装,婴儿内衣,婴幼儿连袜裤,200001583,972076134,12%,14%,18%
服装,婴儿内衣,婴幼儿内裤,200001585,972076137,12%,14%,18%
服装,婴儿内衣,婴幼儿内衣套装,200001586,972076140,12%,14%,18%
服装,婴儿内衣,婴幼儿袜子,200001587,972076141,12%,14%,18%
服装,婴儿内衣,婴幼儿内衣背心,200001588,972076144,12%,14%,18%
服装,婴儿内衣,婴幼儿三角哈衣,200001589,972076145,12%,14%,18%
服装,婴儿内衣,三角哈衣延长片,200001589,972076146,12%,14%,18%
服装,婴儿服装,婴幼儿长裤,200001564,972076150,12%,14%,18%
服装,婴儿服装,婴幼儿牛仔裤,200001564,972076152,12%,14%,18%
服装,婴儿服装,婴幼儿短裤,200001564,972076154,12%,14%,18%
服装,婴儿服装,婴幼儿夹克,200001565,972076162,12%,14%,18%
服装,婴儿服装,婴幼儿睡衣,200001567,972076179,12%,14%,18%
服装,婴儿服装,婴幼儿睡袍,200001567,972076180,12%,14%,18%
服装,婴儿服装,婴幼儿马甲,200001568,972076182,12%,14%,18%
服装,婴儿服装,婴幼儿嘉年华服装,200001569,972076183,12%,14%,18%
服装,婴儿服装,婴幼儿卡通连体睡衣,200001570,972076184,12%,14%,18%
服装,婴儿服装,婴幼儿连体服,200001570,972076185,12%,14%,18%
服装,婴儿服装,婴幼儿背带裤,200001570,972076186,12%,14%,18%
服装,婴儿服装,婴幼儿贴身服装套装,200001572,972076188,12%,14%,18%
服装,婴儿服装,婴幼儿套装,200001572,972076189,12%,14%,18%
服装,婴儿服装,婴幼儿打底裤,200001573,972076196,12%,14%,18%
服装,婴儿服装,婴幼儿背心,200001574,972076197,12%,14%,18%
服装,婴儿服装,婴幼儿洗礼服,200001575,972076199,12%,14%,18%
服装,婴儿服装,婴幼儿西装上衣,200001576,972076201,12%,14%,18%
服装,婴儿服装,婴幼儿连衣裙,200001577,972076202,12%,14%,18%
服装,婴儿服装,婴幼儿运动衫,200001578,972076204,12%,14%,18%
服装,婴儿服装,婴幼儿卫衣,200001578,972076205,12%,14%,18%
服装,婴儿服装,婴儿长袖T恤,200001579,972076207,12%,14%,18%
服装,婴儿服装,婴幼儿T恤,200001579,972076209,12%,14%,18%
服装,婴儿服装,婴幼儿短裙,200001580,972076210,12%,14%,18%
服装,婴儿服装,新生儿上衣,41777500,970744798,12%,14%,18%
服装,婴儿服装,婴幼儿短衫,41777500,972076190,12%,14%,18%
服装,婴儿服装,婴幼儿衬衫,41777500,972076192,12%,14%,18%
服装,婴儿服装,蝴蝶衣,41777539,93207,12%,14%,18%
服装,婴儿服装,平角哈衣,41777539,970672107,12%,14%,18%
服装,婴儿服装,连脚裤,41777571,93193,12%,14%,18%
服装,婴儿服装,婴儿袜,41777705,115944685,12%,14%,18%
服装,运动服,滑雪夹克,200001623,972079085,12%,14%,18%
服装,运动服,单板滑雪夹克,200001623,972079086,12%,14%,18%
服装,运动服,滑雪连体服,200001626,972079092,12%,14%,18%
服装,运动服,单板滑雪连体服,200001626,972079093,12%,14%,18%
服装,运动服,滑雪服,200001627,972079096,12%,14%,18%
服装,运动服,单板滑雪服,200001627,972079098,12%,14%,18%
服装,运动服,搏斗腰带,41777642,93202,12%,14%,18%
服装,运动服,下水背带裤,41777654,96718,12%,14%,18%
服装,运动服,冬季鞋套,41777715,115951169,12%,14%,18%
服装,运动服,护腿套,41777715,93074,12%,14%,18%
服装,运动服,曲棍球球衣,43429862,110995367,12%,14%,18%
服装,运动服,运动手套,43433278,98449,12%,14%,18%
服装,运动服,和服,43436606,971102910,12%,14%,18%
服装,运动服,搏击运动服装,43436606,99536,12%,14%,18%
服装,运动服,拳击服装,43436612,970673964,12%,14%,18%
服装,运动服,骑行服,75971892,971010854,12%,14%,18%
服装,运动服,体操服装,76892850,93076,12%,14%,18%
服装,运动服,舞蹈服,76892850,970670105,12%,14%,18%
服装,运动服,舞蹈、体操内衣,76892850,970670120,12%,14%,18%
服装,运动服,减肥暴汗服,77680558,94188,12%,14%,18%
服装,运动服,减肥腰带,77680558,94219,12%,14%,18%
服装,运动服,摩托运动服装,77902722,970684972,12%,14%,18%
服装,运动服,击剑服装,89300663,970667771,12%,14%,18%
服装,运动服,铁人三项运动服装,89300663,970695812,12%,14%,18%
服装,运动服,排球服,89300663,970696767,12%,14%,18%
服装,运动服,花样滑冰服装,89300663,970702269,12%,14%,18%
服装,运动服,速度滑冰服装,89300663,970963738,12%,14%,18%
服装,运动服,划船服,89300663,970984829,12%,14%,18%
服装,运动服,轮滑运动服装,89300663,970989375,12%,14%,18%
服装,运动服,篮球运动服,89300663,971011003,12%,14%,18%
服装,运动服,足球制服,89300663,971079131,12%,14%,18%
服装,运动服,骑行服装,89300663,971101865,12%,14%,18%
服装,运动服,手球运动服装,89300663,972076120,12%,14%,18%
服装,工作服,战术服,43436624,93124,12%,14%,18%
服装,工作服,战术衬衫,43436624,970806009,12%,14%,18%
服装,工作服,战术长裤,43436624,970806010,12%,14%,18%
服装,工作服,防蚊服,43436624,970851878,12%,14%,18%
服装,工作服,防壁虱服装,43436624,970948321,12%,14%,18%
服装,工作服,中山装,54054696,504970136,12%,14%,18%
服装,工作服,工作裤,54054696,93059,12%,14%,18%
服装,工作服,工作服,54054696,93129,12%,14%,18%
服装,工作服,工作夹克,54054696,93139,12%,14%,18%
服装,工作服,工作背带裤,54054696,93198,12%,14%,18%
服装,工作服,执法机构服装,54054696,93243,12%,14%,18%
服装,工作服,工作短衫,54054696,970685019,12%,14%,18%
服装,工作服,工作连体衣,54054696,970685035,12%,14%,18%
服装,工作服,工作围裙,54054696,970685040,12%,14%,18%
服装,工作服,工装、制服配件,54054696,970685743,12%,14%,18%
服装,工作服,军装,54054696,970859605,12%,14%,18%
服装,工作服,神职人员服装,54054696,971369518,12%,14%,18%
服装,工作服,工帽,54054696,971447083,12%,14%,18%
服装,工作服,工作袍,54054696,97337,12%,14%,18%
服装,配饰,制服帽子,200001068,970877531,12%,14%,18%
服装,配饰,蛇形围巾,41777490,93078,12%,14%,18%
服装,配饰,蝴蝶,41777693,93037,12%,14%,18%
服装,配饰,领带,41777694,93073,12%,14%,18%
服装,配饰,吊裤带,41777708,93191,12%,14%,18%
服装,配饰,腰带,41777709,93201,12%,14%,18%
服装,配饰,武装带,41777710,762509127,12%,14%,18%
服装,配饰,皮带,41777710,93208,12%,14%,18%
服装,配饰,棒球帽,41777720,93040,12%,14%,18%
服装,配饰,码头工人,41777720,971302346,12%,14%,18%
服装,配饰,贝雷帽,41777725,93045,12%,14%,18%
服装,配饰,连指手套,41777726,93066,12%,14%,18%
服装,配饰,暖手包,41777726,971102345,12%,14%,18%
服装,配饰,鸭舌帽,41777728,93093,12%,14%,18%
服装,配饰,帽舌,41777728,93099,12%,14%,18%
服装,配饰,毛皮耳罩,41777734,93155,12%,14%,18%
服装,配饰,披肩,41777735,93165,12%,14%,18%
服装,配饰,遮阳帽,41777736,93167,12%,14%,18%
服装,配饰,无指手套,41777739,93153,12%,14%,18%
服装,配饰,手套,41777739,93171,12%,14%,18%
服装,配饰,穆斯林女服装,41777741,127068840,12%,14%,18%
服装,配饰,三角头巾,41777741,93131,12%,14%,18%
服装,配饰,头巾,41777741,93181,12%,14%,18%
服装,配饰,护腕,41777742,93154,12%,14%,18%
服装,配饰,发箍,41777742,93188,12%,14%,18%
服装,配饰,面部口罩,41777742,970676618,12%,14%,18%
服装,配饰,婴儿防挠脸手套,41777744,93210,12%,14%,18%
服装,配饰,新生儿帽子,41777749,93254,12%,14%,18%
服装,配饰,披巾,41777750,93257,12%,14%,18%
服装,配饰,帽子,41777751,93258,12%,14%,18%
服装,配饰,风帽,41777751,970886196,12%,14%,18%
服装,配饰,巴拉克拉瓦,41777751,97199,12%,14%,18%
服装,配饰,套头围巾,41777752,93152,12%,14%,18%
服装,配饰,围巾,41777752,93263,12%,14%,18%
服装,配饰,带檐帽,41777756,93270,12%,14%,18%
鞋类,休闲鞋,胶靴,15621304,91260,12%,14%,18%
鞋类,休闲鞋,半拖/洞洞鞋,15621306,91262,12%,14%,18%
鞋类,休闲鞋,凉鞋 （Sandal）,15621307,91264,12%,14%,18%
鞋类,休闲鞋,高筒靴,15621309,91266,12%,14%,18%
鞋类,休闲鞋,凉鞋,15621310,91236,12%,14%,18%
鞋类,休闲鞋,踝带鞋,15621311,91238,12%,14%,18%
鞋类,休闲鞋,靴子,15621312,91239,12%,14%,18%
鞋类,休闲鞋,毡靴,15621315,91242,12%,14%,18%
鞋类,休闲鞋,橡胶套鞋,15621317,91244,12%,14%,18%
鞋类,休闲鞋,厚布雪地靴,15621320,91246,12%,14%,18%
鞋类,休闲鞋,板鞋,15621321,91247,12%,14%,18%
鞋类,休闲鞋,懒人鞋,15621321,91270,12%,14%,18%
鞋类,休闲鞋,运动鞋,15621322,91248,12%,14%,18%
鞋类,休闲鞋,豆豆鞋,15621328,91251,12%,14%,18%
鞋类,休闲鞋,拖鞋,15621337,96766,12%,14%,18%
鞋类,休闲鞋,一次性拖鞋,15621337,970807580,12%,14%,18%
鞋类,休闲鞋,单鞋,15621340,91273,12%,14%,18%
鞋类,休闲鞋,UGG雪地靴,15621344,91274,12%,14%,18%
鞋类,休闲鞋,一字拖,15621347,91277,12%,14%,18%
鞋类,休闲鞋,麻底鞋,15621348,91278,12%,14%,18%
鞋类,休闲鞋,芭蕾平底鞋,15621350,91235,12%,14%,18%
鞋类,休闲鞋,乐福鞋,43432808,91249,12%,14%,18%
鞋类,运动鞋和工作鞋,拳击鞋,15621351,96702,12%,14%,18%
鞋类,运动鞋和工作鞋,足球鞋,15621355,115951162,12%,14%,18%
鞋类,运动鞋和工作鞋,摩托骑行鞋,15621364,970687308,12%,14%,18%
鞋类,运动鞋和工作鞋,摩托车鞋配件,15621364,970785887,12%,14%,18%
鞋类,运动鞋和工作鞋,卡丁车靴,15621364,971100766,12%,14%,18%
鞋类,运动鞋和工作鞋,摔跤鞋,15621366,96703,12%,14%,18%
鞋类,运动鞋和工作鞋,涉水鞋,15621371,91234,12%,14%,18%
鞋类,运动鞋和工作鞋,体操鞋,17033806,91276,12%,14%,18%
鞋类,运动鞋和工作鞋,热身靴,17033806,970575627,12%,14%,18%
鞋类,运动鞋和工作鞋,冰壶鞋,17033806,971983839,12%,14%,18%
鞋类,运动鞋和工作鞋,武术鞋、功夫鞋,200000621,971124926,12%,14%,18%
鞋类,运动鞋和工作鞋,嘉年华鞋,200000781,96731,12%,14%,18%
鞋类,运动鞋和工作鞋,情趣鞋,43443279,971869072,12%,14%,18%
鞋类,运动鞋和工作鞋,举重鞋,46934025,115951147,12%,14%,18%
鞋类,运动鞋和工作鞋,攀岩鞋,46934030,98382,12%,14%,18%
鞋类,运动鞋和工作鞋,脚蹼,46934111,99051,12%,14%,18%
鞋类,运动鞋和工作鞋,冰刀,46934131,115951153,12%,14%,18%
鞋类,运动鞋和工作鞋,轮滑鞋,46934143,115951155,12%,14%,18%
鞋类,运动鞋和工作鞋,滑雪靴,46934236,115951164,12%,14%,18%
鞋类,运动鞋和工作鞋,单板滑雪靴,46934243,115951165,12%,14%,18%
鞋类,运动鞋和工作鞋,高山滑雪靴,46936476,115951167,12%,14%,18%
鞋类,运动鞋和工作鞋,工作鞋,46988547,115951170,12%,14%,18%
鞋类,运动鞋和工作鞋,胶靴,46988547,91260,12%,14%,18%
鞋类,运动鞋和工作鞋,自行车骑行鞋,74819459,98224,12%,14%,18%
鞋类,运动鞋和工作鞋,足尖鞋,76892435,970670091,12%,14%,18%
鞋类,运动鞋和工作鞋,艺术体操鞋,76892435,970686287,12%,14%,18%
鞋类,运动鞋和工作鞋,舞鞋,76892435,970696416,12%,14%,18%
鞋类,运动鞋和工作鞋,田径运动钉鞋,80617825,970697953,12%,14%,18%
鞋类,运动鞋和工作鞋,轮滑滑雪靴,81732965,970707312,12%,14%,18%
鞋类,运动鞋和工作鞋,保龄球鞋,86811970,970800622,12%,14%,18%
鞋类,运动鞋和工作鞋,马术鞋,91933928,970896141,12%,14%,18%
电子产品,智能手机、平板电脑、手机,智能手机,17039977,95139,12%,14.50%,20%
电子产品,智能手机、平板电脑、手机,平板电脑,17039978,95137,12%,14.50%,20%
电子产品,智能手机、平板电脑、手机,儿童平板电脑,17039978,970581253,12%,14.50%,20%
电子产品,智能手机、平板电脑、手机,移动电话,17039979,95135,12%,14.50%,20%
电子产品,镜头,相机镜头,17032056,91501,12%,14.50%,20%
电子产品,镜头,增距镜,17032056,91503,12%,14.50%,20%
电子产品,镜头,放大镜,17032056,91504,12%,14.50%,20%
电子产品,计算机机箱,电脑机箱,28480822,96090,12%,14.50%,20%
电子产品,电子书、翻译软件和词典,电子书,28480522,91870,12%,14.50%,20%
电子产品,计算机,一体式,17032248,91475,12%,14.50%,20%
电子产品,计算机,触摸桌,17032248,91478,12%,14.50%,20%
电子产品,计算机,带主机箱的套装,17032248,971215778,12%,14.50%,20%
电子产品,计算机,台式主机,17032249,91476,12%,14.50%,20%
电子产品,计算机,瘦客户端,17032249,970575376,12%,14.50%,20%
电子产品,计算机,迷你电脑,17032249,97235,12%,14.50%,20%
电子产品,计算机,游戏笔记本电脑,17032251,91474,12%,14.50%,20%
电子产品,计算机,笔记本电脑,17032251,91477,12%,14.50%,20%
电子产品,播放设备,CD播放器,17032060,95555,12%,14.50%,20%
电子产品,播放设备,蓝光播放器,17034682,95571,12%,14.50%,20%
电子产品,播放设备,影碟机,17034682,95572,12%,14.50%,20%
电子产品,播放设备,MP3播放器,41589815,91385,12%,14.50%,20%
电子产品,图形输入板,图形输入板,17032069,91871,12%,14.50%,20%
电子产品,图形输入板,图形显示屏,17032069,97892,12%,14.50%,20%
电子产品,充电器和扩展坞,车载充电器,17032075,115947272,12%,14.50%,20%
电子产品,充电器和扩展坞,电源,17032077,970970185,12%,14.50%,20%
电子产品,充电器和扩展坞,无线充电接收器,17032084,369952587,12%,14.50%,20%
电子产品,充电器和扩展坞,无线充电器,17032084,95769,12%,14.50%,20%
电子产品,充电器和扩展坞,交流充电器,17032084,95777,12%,14.50%,20%
电子产品,充电器和扩展坞,USB测试仪,17032084,970832314,12%,14.50%,20%
电子产品,充电器和扩展坞,太阳能充电器,17032084,971751172,12%,14.50%,20%
电子产品,充电器和扩展坞,扩展坞,43429343,95774,12%,14.50%,20%
电子产品,保护膜和保护玻璃,保护膜,17032275,91521,12%,14.50%,20%
电子产品,保护膜和保护玻璃,绘图仪用水凝膜,17032275,971007174,12%,14.50%,20%
电子产品,保护膜和保护玻璃,保护玻璃,200001244,91523,12%,14.50%,20%
电子产品,保护膜和保护玻璃,防护玻璃粘贴配件,200001701,970941509,12%,14.50%,20%
电子产品,游戏机,游戏充值卡,17032092,97144,12%,14.50%,20%
电子产品,游戏机,"应用商店充值卡
",17032092,971739017,12%,14.50%,20%
电子产品,游戏机,舞蹈垫,44255026,970897617,12%,14.50%,20%
电子产品,游戏机,游戏机,44255026,99088,12%,14.50%,20%
电子产品,游戏机配件,游戏机配件,17032097,91539,12%,14.50%,20%
电子产品,游戏机配件,游戏护臂,17032097,972065584,12%,14.50%,20%
电子产品,游戏机配件,游戏机散热,17032288,96136,12%,14.50%,20%
电子产品,游戏机配件,控制台支架,17032288,96137,12%,14.50%,20%
电子产品,游戏机配件,游戏机配件,200000102,971062474,12%,14.50%,20%
电子产品,游戏机配件,游戏卡带,41068443,99055,12%,14.50%,20%
电子产品,游戏机配件,控制器盖,43433379,97249,12%,14.50%,20%
电子产品,电缆和适配器,USB 集线器,17032290,95671,12%,14.50%,20%
电子产品,电缆和适配器,互联网连接电缆,17032292,115012246,12%,14.50%,20%
电子产品,电缆和适配器,延长线,17032292,95676,12%,14.50%,20%
电子产品,电缆和适配器,天线电缆,17032292,970579941,12%,14.50%,20%
电子产品,电缆和适配器,运动手环充电线,17032292,970682683,12%,14.50%,20%
电子产品,电缆和适配器,音频线缆,17032292,970781744,12%,14.50%,20%
电子产品,电缆和适配器,视频电缆,17032292,970781745,12%,14.50%,20%
电子产品,电缆和适配器,电源线,17032292,970825506,12%,14.50%,20%
电子产品,电缆和适配器,移动设备电缆,17032292,971081965,12%,14.50%,20%
电子产品,电缆和适配器,计算机外围设备电缆,17032292,971082159,12%,14.50%,20%
电子产品,电缆和适配器,工具电缆,17032292,97621,12%,14.50%,20%
电子产品,电缆和适配器,连接器,200001498,95673,12%,14.50%,20%
电子产品,电缆和适配器,适配器电缆,200001498,95674,12%,14.50%,20%
电子产品,电缆和适配器,电缆分路器,200001498,95675,12%,14.50%,20%
电子产品,电缆和适配器,电缆测试仪,200001498,970878805,12%,14.50%,20%
电子产品,电缆和适配器,电缆架,24665889,91548,12%,14.50%,20%
电子产品,电缆和适配器,电缆磨损保护 ,24665889,970627153,12%,14.50%,20%
电子产品,电缆和适配器,电线存储箱,24665889,97946,12%,14.50%,20%
电子产品,电缆和适配器,电涌保护器存储箱,24665889,98456,12%,14.50%,20%
电子产品,电视,电视机,17032114,94988,12%,14.50%,20%
电子产品,望远镜和显微镜,显微镜,17032115,94822,12%,14.50%,20%
电子产品,望远镜和显微镜,显微镜配件,17032115,97402,12%,14.50%,20%
电子产品,望远镜和显微镜,望远镜,17032116,94823,12%,14.50%,20%
电子产品,望远镜和显微镜,望远镜配件,17032116,98609,12%,14.50%,20%
电子产品,有线和 DECT 电话,手机、电话交换机配件,17032117,970880437,12%,14.50%,20%
电子产品,有线和 DECT 电话,有线电话,17032122,91723,12%,14.50%,20%
电子产品,电源线、分线器和延长线,网络适配器,17030685,971168639,12%,14.50%,20%
电子产品,电源线、分线器和延长线,电源分线器,17030686,91788,12%,14.50%,20%
电子产品,电源线、分线器和延长线,延长线，电源滤波器,17030686,91790,12%,14.50%,20%
电子产品,智能手表,智能手表表带,17030689,94697,12%,14.50%,20%
电子产品,智能手表,智能手表装饰,17030689,97156,12%,14.50%,20%
电子产品,智能手表,智能手表,17032126,94698,12%,14.50%,20%
电子产品,智能手表,儿童智能手表,17032126,97693,12%,14.50%,20%
电子产品,智能手表,智能手表电池 ,93270772,970865571,12%,14.50%,20%
电子产品,智能手表,智能手表配件,93270772,970961835,12%,14.50%,20%
电子产品,手动输入设备,游戏键盘,17030697,91797,12%,14.50%,20%
电子产品,手动输入设备,键盘,17030697,91801,12%,14.50%,20%
电子产品,手动输入设备,游戏键盘、鼠标套装,17030700,91803,12%,14.50%,20%
电子产品,手动输入设备,键盘、鼠标套装,17030700,91804,12%,14.50%,20%
电子产品,手动输入设备,游戏鼠标,17030701,91798,12%,14.50%,20%
电子产品,手动输入设备,电脑鼠标,17030701,91805,12%,14.50%,20%
电子产品,手动输入设备,电视遥控器,17031717,91809,12%,14.50%,20%
电子产品,手动输入设备,遥控器支架,17031717,970855397,12%,14.50%,20%
电子产品,手动输入设备,灯具遥控器,17031717,970941664,12%,14.50%,20%
电子产品,手动输入设备,遥控器维修套件,17031717,971003890,12%,14.50%,20%
电子产品,手动输入设备,遥控器套,17031717,98229,12%,14.50%,20%
电子产品,手动输入设备,游戏方向盘,17031718,91810,12%,14.50%,20%
电子产品,手动输入设备,模拟赛车配件,17031718,971079311,12%,14.50%,20%
电子产品,手动输入设备,直播控制器,90799095,409069095,12%,14.50%,20%
电子产品,手动输入设备,触控板,90799095,970780257,12%,14.50%,20%
电子产品,手动输入设备,腕托,90799095,970782665,12%,14.50%,20%
电子产品,手动输入设备,键盘、鼠标配件,90799095,970801332,12%,14.50%,20%
电子产品,手动输入设备,键盘套,90799095,970870448,12%,14.50%,20%
电子产品,手动输入设备,键盘清洁维修套件,90799095,970940776,12%,14.50%,20%
电子产品,手动输入设备,键盘支架,90799095,970955161,12%,14.50%,20%
电子产品,手动输入设备,键盘润滑剂,90799095,971294479,12%,14.50%,20%
电子产品,摄影和摄像设备配件,滤光器,17030708,91748,12%,14.50%,20%
电子产品,摄影和摄像设备配件,防水壳,17031719,91734,12%,14.50%,20%
电子产品,摄影和摄像设备配件,用于拍照的镜头遮光罩,17031720,91735,12%,14.50%,20%
电子产品,摄影和摄像设备配件,镜头盖,17031720,91742,12%,14.50%,20%
电子产品,摄影和摄像设备配件,镜头适配器,17031720,91744,12%,14.50%,20%
电子产品,摄影和摄像设备配件,闪光灯,17031721,91736,12%,14.50%,20%
电子产品,摄影和摄像设备配件,移动拍摄灯,17031721,97420,12%,14.50%,20%
